id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<500,<500,<1000,<1000,<1000,1100,1300,1400,1600,1700,1900,2100,2300,2600,2800,3100,3300,3500,3800,4100,4500,4900,5300,5800,6400,6900,7500
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,1000,1200,1300,1500,1700
DZA,1400,1600,1700,1900,2200,2400,2700,3000,3300,3700,4100,4500,4900,5400,5900,6400,6900,7600,8100,8700,9200,9700,10000,11000,11000,12000,13000
AGO,14000,18000,23000,28000,34000,41000,48000,56000,64000,74000,84000,95000,110000,120000,130000,140000,150000,170000,180000,190000,210000,220000,240000,250000,260000,270000,280000
ARG,42000,46000,50000,53000,55000,58000,60000,63000,66000,69000,72000,74000,77000,80000,83000,86000,89000,92000,95000,98000,100000,100000,110000,110000,110000,110000,120000
ARM,<100,<100,<100,<100,<100,<100,<200,<500,<1000,<1000,1400,1900,2300,2600,2900,3000,3100,3200,3200,3200,3200,3100,3100,3100,3100,3200,3300
AUS,16000,15000,15000,15000,14000,14000,14000,14000,14000,14000,15000,15000,16000,17000,17000,18000,18000,19000,20000,20000,21000,22000,22000,23000,24000,24000,25000
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<200,<500,<500,<1000,<1000,1100,1500,1900,2200,2600,3000,3500,3900,4400,4700,5200,5800,6400,7000,7600,8100,8700,9200
BHS,1500,1900,2300,2800,3300,3700,4100,4400,4700,4900,5100,5300,5500,5600,5800,5900,6100,6300,6500,6700,7000,7200,7400,7600,7800,8000,8200
BHR,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
BGD,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,1000,1400,2000,2800,3800,4900,6100,7100,8000,8700,9300,9700,10000,10000,11000,11000,11000,12000
BRB,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100,1200,1300,1400,1500,1600,1800,1900,2000,2100,2200,2300,2400,2400,2500,2600,2600
BLR,<100,<100,<100,<100,<100,<100,<200,<500,<500,<1000,<1000,1200,1600,2200,2900,3700,4600,5500,6600,7700,9100,11000,12000,14000,16000,18000,19000
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,<100,<100,<100,<100,<100,<100,<200,<500,<500,<1000,<1000,1100,1400,1800,2100,2500,2700,3000,3200,3400,3500,3700,3800,4000,4100,4200,4300
BEN,5200,8100,12000,17000,22000,28000,33000,38000,43000,47000,50000,53000,56000,57000,58000,58000,58000,58000,58000,59000,60000,61000,63000,64000,65000,66000,67000
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<200,<500,<1000,1300,2400,4200,6300,8100,9800,11000,13000,14000,16000,17000,18000,18000,19000,19000,19000,19000,19000,19000,18000,18000,18000,19000
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,51000,72000,97000,130000,160000,190000,210000,240000,260000,280000,290000,290000,300000,300000,300000,300000,300000,310000,310000,320000,320000,330000,330000,340000,350000,350000,360000
BRA,150000,170000,190000,210000,220000,240000,250000,280000,300000,320000,350000,380000,410000,430000,460000,490000,520000,550000,590000,620000,640000,680000,710000,740000,770000,800000,830000
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,1000,1200,1300,1500,1900,2400,2700,2900,3100,3200,3300,3400,3400,3400,3500
BFA,140000,150000,170000,180000,180000,190000,190000,190000,180000,170000,170000,160000,150000,140000,130000,120000,120000,110000,110000,100000,100000,99000,98000,97000,96000,95000,95000
BDI,13000,19000,28000,39000,53000,68000,83000,96000,110000,110000,120000,120000,120000,120000,120000,110000,110000,100000,98000,95000,93000,91000,89000,88000,86000,85000,84000
CPV,<1000,<1000,1100,1300,1500,1700,1900,2100,2200,2300,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2600,2600,2700,2800
KHM,1500,4200,12000,26000,45000,65000,83000,97000,100000,110000,110000,110000,100000,99000,94000,90000,86000,84000,83000,82000,81000,79000,78000,76000,74000,73000,71000
CMR,50000,69000,94000,120000,160000,200000,240000,280000,320000,360000,400000,430000,460000,490000,510000,520000,540000,550000,550000,560000,560000,570000,570000,570000,570000,560000,560000
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,43000,65000,90000,120000,140000,160000,180000,190000,200000,200000,200000,190000,180000,170000,160000,160000,150000,140000,140000,140000,130000,130000,130000,130000,130000,130000,130000
TCD,25000,30000,36000,43000,49000,56000,62000,68000,74000,80000,85000,90000,94000,97000,99000,100000,100000,100000,100000,100000,110000,110000,110000,110000,110000,110000,110000
CHL,9600,10000,11000,12000,13000,13000,14000,15000,17000,18000,19000,21000,22000,24000,26000,28000,30000,33000,36000,38000,41000,44000,47000,50000,54000,58000,61000
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,19000,28000,38000,48000,59000,69000,79000,87000,94000,100000,100000,100000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,120000,120000,120000,120000
COM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
COG,40000,50000,59000,68000,74000,78000,81000,82000,82000,80000,78000,76000,74000,72000,70000,69000,69000,69000,70000,73000,75000,77000,80000,82000,85000,87000,91000
CRI,2000,2200,2300,2500,2700,2900,3200,3400,3700,4100,4400,4800,5200,5700,6200,6700,7200,7800,8300,9000,9600,10000,11000,12000,12000,13000,13000
HRV,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1100,1100,1200,1300,1300,1400,1500
CUB,<1000,<1000,<1000,1000,1200,1300,1500,1800,2000,2300,2700,3000,3500,4100,4800,5600,6400,7400,8500,9700,11000,13000,15000,17000,19000,22000,25000
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,1100,1300,1400,1600,1800,2000,2200,2500,2700,3000,3400
CIV,250000,300000,360000,420000,470000,530000,570000,610000,640000,660000,670000,660000,650000,630000,610000,590000,570000,560000,540000,530000,520000,510000,500000,490000,480000,470000,460000
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,300000,330000,360000,390000,420000,450000,480000,500000,510000,530000,540000,540000,540000,540000,530000,520000,510000,500000,480000,460000,450000,430000,420000,400000,390000,380000,370000
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,<500,<1000,1400,2100,3100,4400,5800,7200,8700,10000,11000,12000,12000,12000,12000,12000,12000,11000,11000,10000,10000,9600,9300,9100,8900,8700,8600
DOM,23000,33000,45000,57000,69000,81000,91000,99000,100000,110000,110000,110000,110000,100000,98000,94000,89000,85000,82000,79000,76000,74000,72000,70000,69000,68000,67000
ECU,6600,8600,11000,13000,15000,17000,18000,20000,21000,21000,21000,21000,22000,22000,22000,22000,23000,23000,24000,25000,26000,27000,28000,29000,30000,31000,33000
EGY,<1000,<1000,<1000,<1000,1100,1200,1300,1500,1600,1800,2000,2300,2500,2800,3100,3500,3900,4300,4800,5400,6000,6700,7500,8300,9200,10000,11000
SLV,7600,8800,10000,11000,13000,14000,15000,16000,17000,18000,19000,19000,20000,20000,21000,21000,21000,22000,22000,22000,23000,23000,24000,24000,24000,24000,24000
GNQ,4600,5000,5400,5900,6300,6800,7400,8100,9000,9900,11000,12000,14000,15000,17000,18000,20000,21000,23000,25000,26000,28000,29000,31000,32000,34000,35000
ERI,2400,3700,5400,7300,9200,11000,13000,15000,17000,18000,20000,21000,21000,22000,21000,21000,20000,19000,18000,17000,17000,16000,16000,15000,15000,15000,15000
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,340000,440000,550000,670000,790000,910000,1000000,1100000,1100000,1100000,1100000,1100000,1100000,1000000,980000,920000,860000,810000,770000,740000,720000,710000,700000,700000,700000,710000,710000
FJI,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,77000,79000,81000,82000,82000,83000,85000,88000,92000,96000,100000,110000,110000,120000,120000,130000,130000,140000,140000,150000,150000,160000,160000,170000,170000,180000,180000
GAB,6500,8900,12000,15000,20000,24000,29000,34000,39000,43000,47000,49000,51000,52000,53000,53000,53000,52000,51000,51000,50000,49000,49000,48000,48000,48000,48000
GMB,<500,<1000,1000,1400,2000,2800,3700,4900,6200,7600,9100,11000,12000,14000,15000,16000,17000,18000,19000,19000,20000,20000,20000,20000,20000,21000,20000
GEO,<500,<1000,<1000,<1000,1100,1200,1400,1500,1700,2000,2200,2500,2800,3200,3600,4100,4600,5200,5800,6500,7200,7900,8700,9400,10000,11000,12000
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,110000,160000,210000,270000,330000,370000,410000,430000,450000,450000,450000,440000,430000,410000,400000,380000,360000,340000,330000,310000,300000,290000,290000,290000,290000,290000,290000
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,<500,<1000,<1000,1500,2100,3000,4200,5900,8100,11000,13000,16000,19000,23000,26000,28000,31000,33000,34000,36000,38000,39000,41000,43000,44000,45000,46000
GIN,29000,38000,47000,57000,66000,74000,81000,85000,88000,90000,92000,93000,95000,96000,98000,99000,100000,100000,110000,110000,110000,110000,120000,120000,120000,120000,120000
GNB,1000,1400,2000,2800,3800,5300,7100,9400,12000,15000,19000,23000,27000,31000,34000,37000,39000,41000,42000,42000,42000,41000,41000,40000,39000,38000,36000
GUY,<500,<500,<1000,<1000,<1000,1100,1400,1800,2300,2800,3300,3700,4100,4500,4800,5200,5500,5800,6100,6300,6600,6900,7100,7400,7800,8100,8500
HTI,140000,150000,160000,160000,160000,160000,160000,160000,150000,150000,150000,140000,140000,140000,140000,130000,130000,130000,140000,140000,140000,140000,150000,150000,150000,150000,150000
HND,17000,21000,24000,28000,31000,34000,36000,37000,37000,37000,36000,34000,33000,31000,30000,28000,27000,26000,25000,24000,24000,23000,23000,22000,22000,22000,21000
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,160000,250000,380000,540000,740000,960000,1200000,1400000,1700000,1900000,2000000,2100000,2200000,2300000,2300000,2300000,2300000,2200000,2200000,2200000,2200000,2100000,2100000,2100000,2100000,2100000,2100000
IDN,<500,<1000,1300,2700,5400,10000,18000,29000,42000,59000,80000,110000,150000,190000,240000,290000,340000,390000,430000,470000,510000,540000,570000,590000,600000,610000,620000
IRN,2800,3200,3600,3900,4400,5100,6500,8800,12000,15000,20000,25000,31000,37000,42000,48000,53000,56000,59000,61000,63000,64000,65000,65000,66000,66000,66000
IRL,1100,1300,1400,1600,1800,2000,2200,2500,2700,3000,3200,3500,3700,3900,4200,4400,4600,4800,5000,5200,5300,5400,5500,5700,5800,6000,6200
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,32000,43000,53000,63000,72000,80000,85000,89000,93000,98000,100000,110000,110000,120000,120000,120000,120000,120000,130000,130000,130000,130000,130000,130000,130000,130000,130000
JAM,9600,13000,16000,20000,23000,25000,27000,28000,30000,30000,31000,31000,31000,31000,30000,30000,30000,29000,29000,29000,29000,29000,29000,30000,30000,30000,30000
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
KAZ,<500,<1000,<1000,<1000,1100,1400,1700,2200,2700,3300,4000,4800,5600,6500,7400,8300,9400,11000,12000,13000,15000,16000,18000,20000,22000,24000,26000
KEN,690000,870000,1000000,1200000,1400000,1500000,1600000,1700000,1800000,1800000,1800000,1800000,1700000,1700000,1600000,1600000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1600000,1600000,1600000
