id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
DZA,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
AGO,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,1100,1200,1500,1700,1900,2200,2500,2700,2700,2900,3000,3200,3300,3600,3800,4000,4100,4200
ARG,1100,1300,1500,1700,1900,2100,1900,1700,1500,1500,1500,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1600,1700,1700,1800,1900,1800
ARM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<100
AUS,1200,1300,1300,1300,1300,1200,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BRB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BEN,<100,<100,<100,<200,<500,<500,<500,<1000,<1000,<1000,<1000,1100,1200,1400,1500,1600,1600,1700,1600,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,<500,<500,<1000,1100,1500,2100,2800,3500,4300,5100,5800,6600,7100,7100,6500,5100,4000,3300,3000,2600,2600,2500,2400,2500,2300,2100,1900
BRA,7100,8600,10000,11000,13000,14000,15000,10000,9100,8600,8300,8000,8100,8200,8000,7700,7300,7500,8000,8400,8500,8400,8500,8600,8700,8800,8600
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
