id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
DZA,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<200
AGO,<500,<1000,<1000,1000,1300,1600,1900,2300,2800,3300,3900,4500,5200,6000,6800,7600,8200,8300,8600,9000,9400,9900,11000,11000,11000,11000,11000
ARG,1600,1900,2200,2500,2900,3100,2900,2500,2300,2200,2200,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2200,2200,2300,2400,2400
ARM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
AUS,1300,1300,1300,1300,1300,1300,1100,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<500,<500,<500,<500
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000
