id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
DZA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<100,<200,<200,<100,<100,<100,<100,<100,<100,<100
AGO,<200,<500,<500,<500,<500,<1000,<1000,<1000,1200,1400,1700,2000,2300,2700,3100,3400,3700,3700,3800,4000,4200,4400,4700,4900,4600,4500,4800
ARG,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<500
ARM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AUS,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500
BRB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BEN,<100,<100,<100,<100,<200,<500,<500,<500,<1000,<1000,<1000,1100,1300,1500,1600,1800,1900,2000,1900,1100,<1000,<1000,<1000,<1000,1100,1200,1100
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,<500,<1000,<1000,1200,1700,2400,3100,4000,5000,6000,6900,7800,8500,8600,7900,6300,5000,4100,3700,2900,2400,2300,2000,1700,1700,1600,1600
BRA,1900,2500,3200,4100,4900,5900,6800,5000,4700,4600,4700,4600,4800,4900,4900,4800,4500,4600,4800,5100,5000,4900,4900,4900,4800,4800,4600
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BFA,2100,2700,3300,3900,4600,5200,5800,6300,6700,7000,7200,7400,7400,7200,6800,6200,5400,4600,4200,3600,3100,2700,2000,1900,1800,1600,1400
BDI,<100,<100,<200,<500,<500,<500,<1000,<1000,1100,1400,1700,2000,2300,2600,2800,2700,2600,2600,2400,2100,1900,1600,1300,1000,<1000,<1000,<1000
CPV,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
KHM,<100,<100,<100,<100,<200,<500,<1000,<1000,1300,1800,2300,2700,3100,3400,3300,2800,2200,1500,1200,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
CMR,<500,<1000,<1000,1400,1900,2600,3400,4400,5600,6900,8300,9900,11000,13000,14000,14000,14000,15000,14000,14000,14000,15000,15000,13000,15000,15000,14000
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,<200,<500,<1000,<1000,1500,2100,2800,3600,4400,5200,5900,6400,6800,7100,7200,7200,6900,6500,5800,4900,4800,4800,4900,4900,4800,4200,3900
TCD,<500,<500,<500,<1000,<1000,<1000,1100,1300,1600,1800,2000,2300,2500,2700,2900,3000,2900,2500,2300,1400,1100,1000,1300,1400,1400,1200,<1000
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,<100,<100,<200,<200,<500,<500,<1000,<1000,<1000,1100,1300,1400,1500,1500,1500,1500,1500,1200,1100,1300,1500,1300,<1000,<1000,<1000,<1000,<500
