id,2010,2011,2012,2013,2014,2015
AFG,0.454,0.463,0.47,0.476,0.479,0.479
ALB,0.738,0.752,0.759,0.761,0.762,0.764
DZA,0.724,0.732,0.737,0.741,0.743,0.745
AND,0.819,0.819,0.843,0.85,0.857,0.858
AGO,0.495,0.508,0.523,0.527,0.531,0.533
ATG,0.782,0.778,0.781,0.782,0.784,0.786
ARG,0.816,0.822,0.823,0.825,0.826,0.827
ARM,0.729,0.732,0.736,0.739,0.741,0.743
AUS,0.927,0.93,0.933,0.936,0.937,0.939
AUT,0.88,0.884,0.887,0.892,0.892,0.893
AZE,0.741,0.742,0.745,0.752,0.758,0.759
BHS,0.788,0.789,0.79,0.789,0.79,0.792
BHR,0.812,0.812,0.815,0.82,0.823,0.824
BGD,0.545,0.557,0.565,0.57,0.575,0.579
BRB,0.78,0.785,0.792,0.793,0.794,0.795
BLR,0.787,0.793,0.796,0.796,0.798,0.796
BEL,0.884,0.886,0.889,0.89,0.895,0.896
BLZ,0.7,0.702,0.706,0.705,0.706,0.706
BEN,0.454,0.458,0.466,0.475,0.481,0.485
BTN,0.572,0.581,0.589,0.596,0.604,0.607
BOL,0.649,0.655,0.661,0.666,0.671,0.674
BIH,0.711,0.728,0.735,0.742,0.747,0.75
BWA,0.678,0.687,0.693,0.697,0.698,0.698
BRA,0.724,0.73,0.734,0.747,0.754,0.754
BRN,0.846,0.852,0.86,0.863,0.864,0.865
BGR,0.775,0.778,0.781,0.787,0.792,0.794
BFA,0.377,0.384,0.392,0.398,0.399,0.402
BDI,0.385,0.393,0.398,0.404,0.406,0.404
CPV,0.632,0.636,0.643,0.643,0.646,0.648
KHM,0.533,0.54,0.546,0.553,0.558,0.563
CMR,0.486,0.496,0.501,0.507,0.514,0.518
CAN,0.903,0.907,0.909,0.912,0.919,0.92
CAF,0.361,0.366,0.37,0.345,0.347,0.352
TCD,0.37,0.381,0.387,0.39,0.394,0.396
CHL,0.82,0.826,0.831,0.841,0.845,0.847
CHN,0.7,0.703,0.713,0.723,0.734,0.738
