id,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100
ALB,,,,,,,
DZA,<100,<100,<100,<100,<100,<100,<100
AGO,<1000,<500,<500,1300,2000,2000,1800
ARG,<500,<500,<500,<500,<500,<500,<500
ARM,,,,,,,
AUS,<100,<100,<100,<100,<100,<100,<100
AUT,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100
BHS,,,,,,,
BHR,,,,,,,
BGD,<100,<100,<100,<100,<100,<100,<100
BRB,,,,,,,
BLR,<100,<100,<100,<100,<100,<100,<100
BEL,,,,,,,
BLZ,<100,<100,<100,<100,<100,<100,<100
BEN,<500,<500,<500,<500,<500,<1000,<1000
BTN,,,,,,,
BOL,<100,<100,<100,<100,<100,<100,<100
BIH,,,,,,,
BWA,2400,2400,2100,2300,2100,2200,2100
BRA,1100,1100,1200,1300,1300,1400,1700
BRN,,,,,,,
BGR,,,,,,,
BFA,<500,<1000,<1000,<1000,<1000,1300,1200
BDI,<1000,<1000,<1000,<1000,<1000,<1000,1100
CPV,,,,,,,<100
KHM,<200,<200,<200,<200,<500,<500,<500
CMR,3000,2600,2800,3700,4100,5500,5200
CAN,,,,,,,
CAF,<500,<500,<500,<500,<500,<1000,<1000
TCD,<500,<500,<500,<1000,<1000,1100,<1000
CHL,<100,<100,<100,<100,<100,<100,<100
CHN,,,,,,,
COL,<500,<200,<200,<200,<200,<200,<200
COM,,,,,,,
COG,<200,<500,<200,<500,<500,<500,<200
CRI,<100,<100,<100,<100,<100,<100,<100
HRV,,,,,,,
CUB,<100,<100,<100,<100,<100,<100,<100
CYP,,,,,,,
CZE,,,,,,,
CIV,3200,3100,2400,2900,3100,3200,3500
PRK,,,,,,,
COD,<500,<500,<1000,1200,2100,3300,4100
DNK,,,,,,,
DJI,<100,<100,<100,<100,<100,<100,<100
DOM,<200,<200,<200,<200,<200,<200,<200
ECU,,,,,,,<200
EGY,<100,<100,<100,<100,<100,<100,<100
SLV,<100,<100,<100,<100,<100,<100,<100
GNQ,<100,<100,<100,<200,<500,<500,<500
ERI,<100,<100,<200,<200,<200,<100,<100
EST,,,,,,,
