id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AGO,<500,<500,<1000,<1000,<1000,1000,1200,1400,1600,1800,2100,2300,2600,2800,3000,3200,3200,3500,3600,3700,3800,4200,4300,3600,3000,3200,3600
ARG,<200,<500,<500,<500,<500,<500,<500,<500,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
