id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<500,<500
DZA,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
AGO,3700,4600,5400,6600,7500,8800,9800,11000,12000,14000,15000,16000,17000,19000,20000,21000,22000,22000,23000,24000,25000,26000,26000,26000,25000,25000,25000
ARG,6200,6200,6100,6100,6000,5900,5800,5700,5600,5500,5500,5400,5400,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5400,5400,5400,5500
ARM,<100,<100,<100,<100,<100,<100,<100,<200,<500,<500,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
AUS,1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000,1000,1000,1100,1100,1100,1100,1100,1100
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BGD,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<1000,<1000,1200,1400,1600,1600,1500,1500,1400,1400,1300,1300,1400,1400,1400,1500
BRB,,,,,,,,,,,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,1100,1200,1300,1600,1800,2000,2100,2200,1900,1800
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
BEN,2100,3100,4100,5100,6000,6600,6900,6900,6700,6400,6200,5700,5500,5100,4800,4600,4500,4300,4200,4100,4100,4100,4200,4300,4300,3900,3600
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<100,<200,<500,<1000,1200,1900,2200,2100,2000,1900,1900,2000,2100,2000,1900,1800,1600,1400,1300,1100,1000,1000,1000,1100,1100,1100
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,18000,23000,28000,32000,34000,36000,36000,34000,32000,30000,27000,24000,21000,19000,17000,15000,13000,13000,13000,13000,13000,13000,13000,13000,12000,11000,10000
BRA,30000,32000,33000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,44000,45000,46000,46000,47000,47000,46000,47000,47000,47000,48000,48000,48000,48000
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,<500
BFA,25000,24000,23000,21000,19000,16000,14000,12000,11000,9000,7700,6700,5900,5200,4800,4400,4200,4100,4100,3900,3900,3900,3800,3900,3700,3400,3400
BDI,5000,7100,9900,13000,16000,18000,20000,19000,17000,14000,11000,9100,7300,5500,4700,3900,3800,3900,4000,4400,4400,4200,3900,3500,3200,2600,2200
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,<200
KHM,<1000,2800,7500,14000,20000,21000,20000,17000,13000,11000,8800,7100,6000,5200,4500,3900,3300,2700,2300,2000,1600,1300,1200,1000,<1000,<1000,<1000
CMR,17000,22000,28000,34000,40000,46000,51000,55000,57000,59000,60000,59000,58000,56000,53000,50000,46000,44000,42000,39000,36000,35000,34000,33000,33000,31000,32000
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,19000,23000,27000,29000,29000,28000,26000,22000,19000,14000,12000,10000,8800,8200,8400,8100,8200,8100,8500,8600,9000,9100,9300,9600,9400,9200,8700
TCD,6000,6900,7600,8400,9000,9600,10000,10000,10000,11000,11000,11000,10000,10000,9600,9100,8500,7700,7200,6500,6200,6000,5900,5500,5800,5000,4800
CHL,1200,1300,1300,1400,1500,1600,1700,1800,1900,2000,2100,2300,2400,2500,2700,2800,3000,3200,3300,3500,3700,3900,4100,4300,4500,4700,5000
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,7700,9600,11000,12000,12000,12000,12000,12000,11000,11000,7700,7600,7800,7700,7600,7800,8000,7500,6800,6900,6900,6800,6500,6300,6100,5800,5600
COM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
COG,11000,12000,11000,11000,9500,7900,6900,6400,5500,4600,5100,4800,4700,4800,5100,5200,5500,5800,5900,6300,6500,6600,6700,7000,7300,7600,7600
CRI,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
HRV,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
CUB,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,1100,1300,1400,1600,1900,2100,2400,2600,2900,3300
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500
CIV,58000,65000,71000,76000,78000,80000,79000,77000,73000,67000,62000,52000,47000,43000,38000,33000,31000,28000,25000,27000,25000,24000,24000,23000,22000,21000,20000
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,44000,47000,50000,53000,55000,57000,57000,56000,55000,54000,52000,48000,46000,42000,38000,35000,32000,29000,26000,23000,21000,20000,19000,17000,16000,14000,13000
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,<500,<500,<1000,<1000,1100,1400,1600,1700,1800,1700,1700,1400,1200,<1000,<1000,<1000,<1000,<1000,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<500
DOM,8500,11000,13000,14000,15000,15000,14000,13000,11000,9900,8300,7000,5900,5100,4300,3900,3800,3400,3200,3000,2700,2700,2700,2700,2700,2600,2500
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,1900
EGY,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1100,1200,1300,1400,1600
SLV,1500,1600,1800,1900,2000,2100,2200,2200,2200,2200,2100,2100,2000,1900,1800,1700,1700,1600,1500,1500,1400,1300,1200,1200,1100,1000,<1000
GNQ,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100,1300,1500,1700,1900,2100,2200,2400,2500,2600,2700,2700,2800,2600,2700,2700,2500,2300,2400,2300
ERI,1100,1700,2100,2600,2800,2700,2700,2600,2200,2000,1700,1500,1300,1100,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,99000,120000,140000,150000,160000,160000,150000,140000,120000,100000,85000,67000,54000,44000,35000,30000,26000,24000,22000,22000,23000,24000,25000,27000,28000,30000,30000
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,<200
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6100,6100,6100,6100,6100,6000
GAB,2000,2600,3300,4100,4900,5600,6100,6400,6500,6300,6100,5400,4900,4400,4000,3600,3100,2800,2700,2500,2500,2500,2400,2300,2100,2000,1700
GMB,<200,<500,<500,<500,<1000,<1000,1100,1300,1600,1800,2000,2100,2200,2200,2200,2200,2100,2000,1900,1800,1600,1500,1400,1400,1400,1300,1300
GEO,<500,<500,<500,<200,<200,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1100,1100,1200,1100,1100,1100,1100
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,40000,51000,60000,67000,68000,63000,56000,47000,41000,35000,30000,26000,23000,21000,19000,18000,17000,16000,16000,16000,17000,17000,17000,18000,19000,20000,20000
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
