id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
DZA,<100,<100,<100,<100,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
AGO,1900,2400,2800,3400,3900,4600,5100,5600,6200,6900,7500,8000,8700,9300,9800,10000,11000,11000,12000,12000,12000,12000,13000,13000,13000,12000,12000
ARG,1800,1800,1700,1700,1700,1700,1600,1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600
ARM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AUS,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<500,<200,<500,<500,<500,<500,<500,<500,<500,<500
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
BRB,,,,,,,,,,,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
BEN,<1000,1400,1900,2400,2900,3200,3300,3300,3200,3100,2900,2600,2500,2300,2100,2000,1900,1900,1900,1800,1800,1800,1900,1900,2000,1900,1900
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<100,<100,<100,<200,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,9400,12000,15000,17000,18000,18000,18000,17000,15000,14000,12000,11000,9600,8600,7700,6900,6500,6200,6300,6300,6300,6300,6400,6400,6100,5700,5200
BRA,9900,11000,12000,13000,13000,14000,15000,15000,15000,16000,16000,16000,15000,16000,16000,16000,15000,15000,15000,14000,14000,14000,14000,14000,14000,14000,14000
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,<100
BFA,14000,13000,12000,11000,9100,7300,6000,4800,3800,3000,2300,1900,1600,1400,1300,1300,1300,1400,1500,1600,1600,1700,1800,1800,1900,1900,1900
BDI,2000,2900,4000,5300,6500,7300,7600,7200,6200,5000,3800,2800,2000,1200,<1000,<1000,<1000,<1000,<1000,<1000,1100,1100,1100,<1000,<1000,<1000,<1000
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,<100
KHM,<500,<1000,1900,3800,5500,6600,6900,6700,6100,5500,4700,3900,3300,2800,2400,2000,1600,1300,1100,<1000,<1000,<1000,<500,<500,<500,<500,<500
CMR,9700,13000,16000,20000,23000,26000,28000,30000,31000,32000,32000,31000,30000,29000,27000,25000,23000,21000,20000,19000,18000,18000,17000,17000,17000,17000,17000
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,9400,12000,14000,15000,15000,14000,13000,11000,8600,6300,5100,4100,3400,3300,3500,3500,3700,3700,4000,4100,4400,4500,4700,4700,4800,4800,4700
TCD,3000,3400,3700,4000,4200,4500,4600,4600,4700,4800,4600,4600,4500,4200,4000,3700,3500,3100,2800,2500,2400,2200,2300,2300,2300,2300,2100
CHL,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100,1100,1200,1200,1300,1300,1400
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,2000,2600,3100,3300,3400,3200,3000,2700,2400,2200,1400,1400,1400,1400,1300,1300,1300,1200,1100,1100,1100,<1000,<1000,<1000,<1000,<1000,<1000
COM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
COG,5100,5500,5400,5300,4500,3700,3200,2900,2500,2000,2300,2200,2100,2200,2400,2500,2700,2800,2900,3100,3200,3300,3400,3500,3600,3800,3800
CRI,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
HRV,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
CUB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
CIV,28000,31000,34000,36000,37000,37000,37000,35000,33000,30000,27000,24000,21000,19000,16000,14000,13000,12000,11000,12000,10000,9800,9500,9400,9300,9000,8600
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,8700,10000,15000,23000,25000,26000,26000,25000,24000,23000,28000,25000,23000,20000,19000,17000,16000,14000,12000,10000,9400,8700,8200,7900,7700,7500,7200
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,<100,<200,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<200,<500,<500,<500,<500,<500,<500,<500,<500
DOM,4600,5600,6200,6300,6200,5800,5200,4600,4100,3700,3200,2800,2500,2200,1900,1700,1700,1500,1400,1200,1100,1100,1100,1100,1100,<1000,<1000
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,<1000
EGY,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500
SLV,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500,<500,<500,<500,<500,<500,<500,<500,<500
GNQ,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1000,1100,1200,1200,1300,1300,1300,1300,1200,1200,1200,1200,1100,1100,1200
ERI,<1000,1000,1300,1600,1700,1700,1600,1500,1200,1000,<1000,<1000,<1000,<500,<500,<500,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,55000,66000,75000,82000,84000,83000,78000,68000,58000,46000,37000,27000,21000,16000,11000,9500,8100,7800,7500,8200,9300,10000,12000,14000,15000,16000,16000
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,<100
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,1900,1900,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GAB,1200,1600,2100,2500,3000,3400,3700,3800,3800,3700,3500,3000,2700,2300,2000,1800,1500,1300,1200,1100,1200,1200,1200,1200,1100,1100,<1000
GMB,<100,<200,<200,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1000,1100,1100,1100,1100,1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
GEO,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,
