"","id","value","year"
"1","AFG",500,"1990"
"2","ALB",100,"1990"
"3","DZA",1400,"1990"
"4","AGO",14000,"1990"
"5","ARG",42000,"1990"
"6","ARM",100,"1990"
"7","AUS",16000,"1990"
"8","AUT",NA,"1990"
"9","AZE",100,"1990"
"10","BHS",1500,"1990"
"11","BHR",200,"1990"
"12","BGD",100,"1990"
"13","BRB",500,"1990"
"14","BLR",100,"1990"
"15","BEL",NA,"1990"
"16","BLZ",100,"1990"
"17","BEN",5200,"1990"
"18","BTN",NA,"1990"
"19","BOL",100,"1990"
"20","BIH",NA,"1990"
"21","BWA",51000,"1990"
"22","BRA",150000,"1990"
"23","BRN",NA,"1990"
"24","BGR",500,"1990"
"25","BFA",140000,"1990"
"26","BDI",13000,"1990"
"27","CPV",1000,"1990"
"28","KHM",1500,"1990"
"29","CMR",50000,"1990"
"30","CAN",NA,"1990"
"31","CAF",43000,"1990"
"32","TCD",25000,"1990"
"33","CHL",9600,"1990"
"34","CHN",NA,"1990"
"35","COL",19000,"1990"
"36","COM",100,"1990"
"37","COG",40000,"1990"
"38","CRI",2000,"1990"
"39","HRV",200,"1990"
"40","CUB",1000,"1990"
"41","CYP",NA,"1990"
"42","CZE",200,"1990"
"43","CIV",250000,"1990"
"44","PRK",NA,"1990"
"45","COD",300000,"1990"
"46","DNK",NA,"1990"
"47","DJI",500,"1990"
"48","DOM",23000,"1990"
"49","ECU",6600,"1990"
"50","EGY",1000,"1990"
"51","SLV",7600,"1990"
"52","GNQ",4600,"1990"
"53","ERI",2400,"1990"
"54","EST",NA,"1990"
"55","ETH",340000,"1990"
"56","FJI",100,"1990"
"57","FIN",NA,"1990"
"58","FRA",77000,"1990"
"59","GAB",6500,"1990"
"60","GMB",500,"1990"
"61","GEO",500,"1990"
"62","DEU",NA,"1990"
"63","GHA",110000,"1990"
"64","GRC",NA,"1990"
"65","GTM",500,"1990"
"66","GIN",29000,"1990"
"67","GNB",1000,"1990"
"68","GUY",500,"1990"
"69","HTI",140000,"1990"
"70","HND",17000,"1990"
"71","HUN",NA,"1990"
"72","ISL",NA,"1990"
"73","IND",160000,"1990"
"74","IDN",500,"1990"
"75","IRN",2800,"1990"
"76","IRL",1100,"1990"
"77","ISR",NA,"1990"
"78","ITA",32000,"1990"
"79","JAM",9600,"1990"
"80","JPN",NA,"1990"
"81","JOR",200,"1990"
"82","KAZ",500,"1990"
"83","KEN",690000,"1990"
"84","KWT",100,"1990"
"85","KGZ",100,"1990"
"86","LAO",100,"1990"
"87","LVA",1000,"1990"
"88","LBN",500,"1990"
"89","LSO",9700,"1990"
"90","LBR",28000,"1990"
"91","LTU",500,"1990"
"92","LUX",NA,"1990"
"93","MDG",1000,"1990"
"94","MWI",450000,"1990"
"95","MYS",9600,"1990"
"96","MDV",NA,"1990"
"97","MLI",44000,"1990"
"98","MLT",100,"1990"
"99","MRT",1100,"1990"
"100","MEX",67000,"1990"
"101","MNG",100,"1990"
"102","MNE",100,"1990"
"103","MAR",1300,"1990"
"104","MOZ",99000,"1990"
"105","MMR",10000,"1990"
"106","NAM",12000,"1990"
"107","NPL",200,"1990"
"108","NLD",7500,"1990"
"109","NZL",NA,"1990"
"110","NIC",2700,"1990"
"111","NER",11000,"1990"
"112","NGA",800000,"1990"
"113","NOR",NA,"1990"
"114","OMN",NA,"1990"
"115","PAK",100,"1990"
"116","PAN",4400,"1990"
"117","PNG",1000,"1990"
"118","PRY",1200,"1990"
"119","PER",69000,"1990"
"120","PHL",100,"1990"
"121","POL",NA,"1990"
"122","PRT",NA,"1990"
"123","QAT",100,"1990"
"124","KOR",NA,"1990"
"125","MDA",500,"1990"
"126","ROU",7500,"1990"
