id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AGO,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1100,1300,1400,1500,1700,1700,1800,1900,2000,2100,2200,2300,2200,2000,2000,2100
ARG,<200,<200,<200,<200,<200,<200,<200,<200,<200,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
