id,2010,2011,2012,2013,2014,2015,2016
AFG,,,,<1,3,3,3
DZA,,31,20,50,26,23,35
AGO,4,6,7,18,12,7,2
ARG,,13,13,12,56,56,73
AUS,,,56,>95,>95,91,84
AZE,21,34,49,53,61,68,61
BGD,2,2,3,3,17,11,19
BLR,>95,>95,>95,>95,>95,90,>95
BLZ,63,63,45,50,48,61,38
BEN,,11,10,14,29,31,29
BWA,53,36,36,49,43,48,50
BRA,26,48,26,47,47,48,48
BFA,9,14,19,25,30,28,14
BDI,7,8,9,15,10,2,11
KHM,44,60,32,35,33,70,65
CMR,18,24,29,31,34,31,50
CAF,1,9,6,3,9,13,22
TCD,3,2,6,6,7,5,5
CHL,,42,34,32,36,43,33
COL,19,34,40,55,66,77,73
COG,11,5,8,7,<1,2,3
CRI,67,61,84,62,76,80,65
CUB,63,75,77,69,54,76,63
CIV,21,3,19,12,34,30,41
COD,3,6,8,11,15,17,21
DJI,,2,8,8,2,8,10
DOM,9,38,40,54,>95,94,58
ECU,1,>95,>95,30,>95,71,89
EGY,6,5,6,5,7,9,13
SLV,32,32,2,37,49,49,44
ERI,,,,27,40,37,40
ETH,47,18,28,28,28,35,50
GAB,4,21,23,14,19,24,25
GMB,,,,,8,12,12
GEO,46,39,34,32,42,44,46
GHA,1,10,9,19,16,21,32
GTM,,18,16,11,15,14,15
GIN,5,6,<1,6,7,4,39
GNB,<1,<1,3,6,28,43,45
GUY,25,43,33,29,52,46,45
HTI,<1,4,37,34,36,33,37
HND,83,>95,50,55,56,45,68
IND,4,4,5,6,6,16,18
IDN,,,,4,5,6,2
IRN,12,3,9,12,15,20,23
IRL,,,,,,>95,>95
JAM,,,,,,,
KAZ,>95,>95,>95,>95,91,79,74
KEN,68,42,42,42,69,47,53
LVA,42,75,84,93,86,90,93
LSO,>95,93,68,45,48,83,56
LBR,5,17,28,30,12,<1,
MDG,,<1,<1,<1,<1,<1,<1
MWI,,,5,14,19,19,31
MYS,72,76,72,79,87,70,60
MLI,7,7,10,8,6,3,12
MRT,,,,,,,
MAR,21,20,63,60,58,56,55
MOZ,27,32,27,28,36,41,45
MMR,1,4,5,9,12,15,26
NAM,49,77,56,54,91,17,54
NPL,4,5,10,6,10,25,30
NIC,44,>95,53,64,57,72,66
NER,,,1,7,1,9,4
NGA,5,6,5,5,5,9,11
PAK,1,1,<1,1,1,<1,<1
PNG,,25,19,58,33,40,39
PRY,29,37,55,43,41,51,58
PER,,14,27,38,31,67,43
PHL,3,6,3,<1,2,3,5
MDA,83,63,79,72,79,89,>95
ROU,>95,87,>95,>95,>95,>95,>95
RWA,65,64,69,69,73,71,77
SAU,,,,,28,21,39
SEN,10,9,9,12,11,15,12
SLE,1,1,2,30,3,4,6
SOM,,,,,,,
ZAF,66,64,89,75,87,>95,80
SSD,,,,,,1,2
ESP,,,12,4,4,4,4
SUR,8,8,30,51,72,93,90
SWZ,46,87,90,82,80,84,78
SWE,,,,23,31,36,32
TJK,4,8,11,14,14,31,22
THA,57,59,67,71,73,>95,>95
TGO,15,5,12,12,18,18,39
TTO,,,41,55,>95,88,89
UGA,10,28,34,39,56,35,30
UKR,>95,>95,>95,>95,85,49,55
TZA,29,35,34,33,43,41,40
URY,62,69,88,>95,>95,>95,87
VNM,,31,30,63,41,49,49
YEM,4,1,1,4,2,2,1
ZMB,23,59,61,52,74,36,37
ZWE,11,21,35,53,52,57,70
