id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500
AGO,<1000,1000,1300,1700,2100,2600,3200,3800,4500,5300,6300,7300,8400,9500,11000,12000,13000,14000,16000,17000,18000,19000,21000,21000,22000,22000,23000
ARG,<500,<1000,<1000,<1000,<1000,<1000,<1000,1000,1100,1200,1300,1300,1400,1400,1500,1500,1600,1600,1600,1600,1500,1500,1400,1400,1300,1200,1200
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200
BEN,<500,<500,<1000,<1000,1100,1400,1900,2300,2800,3300,3900,4400,4900,5400,5800,6200,6500,6700,6800,6900,7000,7100,7100,7100,7000,6700,6300
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<500
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,1900,2800,4000,5500,7300,9400,12000,14000,16000,19000,21000,22000,23000,24000,25000,24000,24000,23000,22000,21000,20000,19000,18000,16000,15000,14000,12000
BRA,2000,2500,3000,3500,4100,4800,5400,6100,6800,7500,8100,8800,9700,10000,11000,12000,13000,13000,14000,14000,14000,14000,13000,13000,12000,12000,11000
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,11000,13000,15000,17000,19000,21000,23000,24000,26000,26000,27000,27000,27000,26000,25000,24000,23000,22000,20000,19000,18000,16000,15000,14000,13000,11000,10000
BDI,<1000,<1000,1200,1800,2500,3400,4500,5600,6800,8000,9100,10000,11000,12000,13000,14000,14000,15000,15000,15000,15000,15000,15000,14000,14000,13000,12000
CPV,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
KHM,<100,<100,<200,<500,<500,<1000,1100,1600,2000,2400,2900,3300,3600,3900,4200,4500,4700,4900,5100,5200,5300,5300,5100,5000,4700,4500,4200
CMR,2300,3300,4600,6200,8300,11000,13000,17000,20000,24000,27000,31000,35000,38000,42000,45000,47000,50000,52000,53000,53000,53000,53000,52000,51000,48000,46000
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,1200,2000,3000,4300,5700,7300,8900,11000,12000,13000,14000,15000,16000,16000,17000,17000,16000,16000,15000,15000,14000,13000,12000,12000,11000,10000,9200
