id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<500,<500,<500,<1000,<1000,<1000,<1000,1000,1100,1200,1300,1500,1600,1800,2000,2100,2300,2400,2600,2900,3100,3400,3700,4000,4400,4800,5200
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1000,1200
DZA,1000,1100,1200,1400,1500,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3700,3900,4200,4600,4800,5000,5300,5500,5700,6000,6200,6600
AGO,6000,7500,9200,11000,13000,16000,19000,22000,25000,28000,32000,36000,40000,45000,49000,53000,58000,63000,68000,72000,78000,83000,88000,92000,97000,100000,110000
ARG,29000,32000,34000,36000,38000,40000,41000,43000,45000,47000,48000,50000,52000,54000,56000,58000,60000,62000,64000,66000,67000,69000,71000,73000,74000,76000,78000
ARM,<100,<100,<100,<100,<100,<100,<200,<500,<500,<1000,1000,1400,1700,1900,2100,2200,2300,2400,2400,2400,2400,2300,2300,2200,2200,2300,2300
AUS,15000,14000,14000,14000,13000,13000,13000,13000,13000,13000,14000,14000,15000,15000,16000,16000,17000,17000,18000,18000,19000,19000,20000,21000,21000,22000,22000
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,1000,1300,1500,1800,2100,2300,2600,2900,3100,3500,3900,4300,4800,5200,5600,5900,6300
BHS,<1000,1200,1500,1800,2000,2300,2400,2600,2700,2800,2800,2900,2900,3000,3100,3100,3200,3300,3400,3500,3700,3800,4000,4200,4300,4500,4700
BHR,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
BGD,<100,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,1100,1600,2200,2900,3800,4600,5300,5800,6100,6400,6600,6600,6800,6900,7100,7300,7500
BRB,<200,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1100,1200,1200,1300,1400,1500,1500,1600,1600,1700,1700,1700,1800
BLR,<100,<100,<100,<100,<100,<100,<100,<200,<500,<500,<1000,<1000,1000,1400,1800,2300,2800,3300,3900,4600,5300,6200,7200,8300,9300,10000,11000
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,<1000,1100,1300,1400,1600,1700,1800,1800,1900,2000,2100,2100,2200,2200
BEN,2900,4400,6300,8500,11000,13000,15000,17000,19000,20000,21000,22000,23000,23000,23000,23000,22000,22000,22000,22000,22000,23000,23000,24000,24000,25000,25000
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<200,<500,<500,<1000,1700,3000,4400,5700,6900,7900,8900,9800,11000,11000,12000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,12000
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,22000,30000,41000,52000,64000,76000,87000,97000,110000,110000,120000,120000,120000,120000,120000,120000,120000,120000,120000,130000,130000,130000,140000,140000,140000,150000,150000
BRA,110000,120000,130000,140000,150000,150000,160000,170000,180000,190000,210000,220000,240000,260000,280000,290000,310000,340000,360000,380000,400000,420000,440000,460000,480000,510000,530000
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,1300,1700,2000,2200,2300,2400,2400,2400,2400,2400,2400
BFA,40000,45000,49000,51000,53000,53000,53000,52000,50000,47000,45000,42000,39000,36000,34000,32000,31000,30000,29000,29000,29000,29000,29000,29000,29000,29000,29000
BDI,6900,10000,15000,21000,28000,36000,44000,51000,56000,59000,61000,62000,61000,58000,56000,52000,49000,46000,43000,41000,39000,38000,37000,36000,34000,33000,33000
CPV,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1200,1200,1200
KHM,1100,3100,8500,19000,32000,46000,57000,64000,67000,67000,65000,61000,57000,53000,48000,45000,42000,41000,39000,38000,37000,36000,35000,34000,33000,32000,31000
CMR,17000,24000,33000,43000,55000,68000,81000,96000,110000,120000,140000,150000,160000,160000,170000,170000,180000,180000,180000,180000,190000,190000,190000,190000,180000,180000,180000
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,20000,30000,41000,51000,61000,70000,76000,80000,82000,81000,79000,75000,71000,66000,62000,59000,56000,53000,52000,51000,50000,50000,50000,49000,50000,50000,50000
TCD,10000,13000,15000,17000,20000,23000,25000,27000,30000,32000,34000,35000,37000,38000,38000,39000,39000,39000,39000,40000,40000,41000,41000,41000,41000,41000,42000
CHL,7400,7900,8400,8900,9500,10000,11000,11000,12000,13000,14000,15000,16000,17000,19000,20000,22000,24000,26000,28000,30000,32000,34000,37000,39000,42000,45000
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,13000,20000,27000,34000,42000,49000,56000,62000,68000,73000,75000,76000,78000,79000,80000,81000,83000,85000,86000,87000,87000,88000,90000,91000,93000,95000,98000
COM,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
