id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,<100,<100,<200,<200,<200,<200,<200,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000
ALB,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<200,<200,<200,<200
DZA,<200,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500
AGO,1400,1700,2000,2400,2800,3200,3500,3900,4300,4800,5300,5700,6200,6600,6900,7300,7700,7900,8200,8500,8700,8900,9100,9200,9100,9000,8900
ARG,4200,4200,4200,4100,4000,4000,3900,3900,3800,3800,3700,3700,3700,3700,3700,3600,3600,3700,3700,3700,3700,3700,3700,3700,3800,3800,3800
ARM,<100,<100,<100,<100,<100,<100,<100,<100,<200,<500,<500,<500,<500,<500,<500,<500,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
AUS,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,<100,<100,<100,<100,<100,<100,<200,<200,<200,<500,<500,<500,<500,<500,<500,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100,<100
BGD,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<1000,<1000,<1000,1000,1100,1100,1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BRB,,,,,,,,,,,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
BLR,<100,<100,<100,<100,<100,<100,<100,<100,<100,<200,<200,<500,<500,<500,<500,<1000,<1000,<1000,<1000,<1000,<1000,1000,1200,1200,1300,1100,1000
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,<200,<200,<200,<500,<500,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200,<200
BEN,1100,1500,1900,2300,2600,2700,2700,2600,2400,2200,2100,1800,1700,1600,1400,1400,1300,1300,1300,1200,1200,1300,1300,1300,1400,1300,1300
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,<100,<100,<200,<500,<500,<1000,1300,1500,1400,1300,1300,1300,1300,1400,1300,1300,1200,1100,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,7200,9100,11000,13000,14000,14000,14000,13000,12000,11000,10000,8900,7900,7100,6400,5800,5400,5200,5300,5200,5200,5300,5400,5300,5000,4700,4300
BRA,20000,20000,21000,21000,21000,21000,22000,22000,23000,23000,24000,25000,26000,26000,27000,28000,29000,30000,30000,31000,31000,32000,32000,32000,33000,33000,33000
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,<200
BFA,6800,6500,6000,5300,4600,3700,3100,2500,2000,1500,1200,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,<1000,1000,<1000
