Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
 Afghanistan,12.1,16.8,19.7,24.4,28,28.8,29.7,30.7,31.6,32.5
 Albania,3.3,3.1,3.1,3.1,2.9,2.9,2.9,2.9,2.9,2.9
 Algeria,25.9,28.9,31.2,33.3,36,36.7,37.4,38.2,38.9,39.7
 Andorra,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Angola,11.1,13,15.1,17.9,21.2,21.9,22.7,23.4,24.2,25
 Antigua and Barbuda,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
 Argentina,32.7,35,37.1,39.1,41.2,41.7,42.1,42.5,43,43.4
 Armenia,3.5,3.2,3.1,3,3,3,3,3,3,3
 Australia,17.1,18.1,19.1,20.3,22.2,22.5,22.9,23.3,23.6,24
 Austria,7.7,8,8.1,8.2,8.4,8.4,8.5,8.5,8.5,8.5
 Azerbaijan,7.2,7.8,8.1,8.6,9.1 y,9.2,9.4,9.5,9.6,9.8
 Bahamas,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
 Bahrain,0.5,0.6,0.7,0.9,1.3,1.3,1.3,1.3,1.4,1.4
 Bangladesh,106,118.4,131.3,142.9,151.6,153.4,155.3,157.2,159.1,161
 Barbados,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
 Belarus,10.2,10.2,10,9.6,9.5,9.5,9.5,9.5,9.5,9.5
 Belgium,10,10.2,10.3,10.6,10.9,11,11.1,11.2,11.2,11.3
 Belize,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4
 Benin,5,6,6.9,8.2,9.5,9.8,10.1,10.3,10.6,10.9
 Bhutan,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8
 Bolivia (Plurinational State of),6.9,7.6,8.3,9.1,9.9,10.1,10.2,10.4,10.6,10.7
 Bosnia and Herzegovina,4.5,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
 Botswana,1.4,1.6,1.7,1.9,2,2.1,2.1,2.2,2.2,2.3
 Brazil,150.4,162.8,175.8,188.5,198.6,200.5,202.4,204.3,206.1,207.8
 Brunei Darussalam,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
 Bulgaria,8.8,8.4,8,7.7,7.4,7.4,7.3,7.3,7.2,7.2
 Burkina Faso,8.8,10.1,11.6,13.4,15.6,16.1,16.6,17.1,17.6,18.1
 Burundi,5.6,6.2,6.8,7.9,9.5,9.8,10.1,10.5,10.8,11.2
 Cabo Verde,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
 Cambodia,9,10.7,12.2,13.3,14.4,14.6,14.8,15.1,15.3,15.6
 Cameroon,12.1,13.9,15.9,18.1,20.6,21.1,21.7,22.2,22.8,23.3
 Canada,27.7,29.3,30.7,32.3,34.1,34.5,34.9,35.2,35.6,35.9
 Central African Republic,2.9,3.3,3.7,4.1,4.4,4.5,4.6,4.7,4.8,4.9
 Chad,6,7,8.3,10.1,11.9,12.3,12.7,13.1,13.6,14
 Chile,13.1,14.2,15.2,16.1,17,17.2,17.4,17.6,17.8,17.9
 China,1154.6,1227.8,1270,1305.6,1341,1348.2,1355.4,1362.5,1369.4,1376
