id,2010,2011,2012,2013,2014,2015,2016
AFG,0,0,0,10,10,10,10
ALB,,,,,,,
DZA,120,130,120,200,110,110,210
AGO,3700,2600,3200,5700,8800,8400,7600
ARG,1300,1400,1400,1400,1400,1400,1400
ARM,,,,,,,
AUS,60,60,70,70,80,80,90
AUT,,,,,,,
AZE,20,20,40,50,50,60,70
BHS,,,,,,,
BHR,,,,,,,
BGD,20,10,20,20,30,20,20
BRB,,,,,,,
BLR,190,180,200,240,260,270,280
BEL,,,,,,,
BLZ,50,70,40,50,50,50,30
BEN,850,1100,1300,1200,2100,3300,4200
BTN,,,,,,,
BOL,130,170,250,210,230,280,350
BIH,,,,,,,
BWA,13800,12900,12600,12900,11800,11900,11300
BRA,4900,4900,5400,5500,5800,6300,7700
BRN,,,,,,,
BGR,,,,,,,
BFA,2800,3100,3200,3400,4300,4700,4800
BDI,2600,2700,2700,3100,3500,3900,4300
CPV,30,40,40,50,60,70,60
KHM,550,660,670,700,720,770,720
CMR,13800,15400,17800,23200,22300,26700,23000
CAN,,,,,,,
CAF,2000,2600,2700,1500,2600,2700,3900
TCD,1600,1900,2600,4300,3000,4700,4400
CHL,160,150,270,220,230,220,220
CHN,,,,,,,
COL,780,700,700,700,740,680,830
COM,,,,,,,
COG,620,1400,1100,1500,1200,1100,670
CRI,40,40,40,40,50,40,40
HRV,10,0,10,10,10,10,10
CUB,70,90,140,110,100,160,150
CYP,,,,,,,
CZE,,,,,,,
CIV,7800,7000,13300,16000,17800,17700,16900
PRK,,,,,,,
COD,2200,2200,3300,7800,12300,14500,15400
DNK,,,,,,,
DJI,40,50,40,30,60,80,80
DOM,770,1100,1300,970,1100,890,910
ECU,510,650,550,540,550,540,530
EGY,10,10,10,20,10,30,40
SLV,100,120,160,180,170,160,140
GNQ,260,150,250,1200,1200,990,1600
ERI,150,220,360,360,390,300,210
EST,,,,,,,
ETH,6800,10100,15800,18300,20200,19000,16700
FJI,,,,,,,
FIN,,,,,,,
FRA,1700,1700,1800,1800,1800,1800,1800
GAB,640,840,1100,1400,1400,1700,2000
GMB,600,820,1100,730,720,870,750
GEO,30,30,20,40,60,60,50
DEU,,,,,,,
GHA,5800,8100,9000,7300,8300,7800,9700
GRC,,,,,,,
GTM,290,360,250,390,330,210,240
GIN,1100,1900,2000,3900,3200,1000,2800
GNB,340,490,740,1200,1900,1600,1500
GUY,120,150,170,230,180,170,160
HTI,2400,3800,4900,5200,4500,4600,4300
HND,250,230,240,210,200,180,170
HUN,,,,,,,
ISL,,,,,,,
IND,0,0,1600,5200,10200,11000,14000
IDN,1800,1500,2200,2400,2600,1800,1600
IRN,60,70,120,130,170,220,240
IRL,80,80,80,80,70,70,70
ISR,,,,,,,
ITA,490,480,460,430,410,380,360
JAM,390,300,300,280,390,410,410
JPN,,,,,,,
JOR,,,,,,,
KAZ,220,260,300,310,300,350,380
KEN,41600,55600,44400,44600,50300,59000,59300
KWT,,,,,,,
KGZ,50,40,90,100,110,90,110
LAO,30,50,50,60,30,40,150
LVA,40,60,60,60,60,60,70
LBN,,,,,,,
LSO,8000,12100,10000,8200,8200,8100,8600
LBR,560,810,850,640,650,1200,1400
LTU,,,,,,,
LUX,0,0,0,0,0,10,10
MDG,20,110,80,60,60,50,30
MWI,14500,28200,31800,35400,38500,44000,46400
MYS,240,350,340,340,350,320,290
MDV,,,,,,,
MLI,2500,3500,3800,2200,2400,2700,2400
MLT,,,,,,,
