id,1995,2000,2005,2010,2011,2012,2013,2014
AFG,,,0.8,2.9,2.1,2.9,2.6,2.9
ALB,1.7,2.3,2.7,2.5,2.8,2.7,2.8,2.9
DZA,2.7,2.6,2.3,3.6,3.8,4.5,5.2,5.2
AND,4,4,3.5,6.2,4.9,5.7,9.7,6.3
AGO,4.7,1.7,2,2.1,2.2,2.1,3.1,2.1
ATG,2.7,2.8,3,3.9,3.9,3.7,3.6,3.8
ARG,5,5,3.7,4.2,3.7,3,2.7,2.7
ARM,2,1.1,1.9,1.9,1.9,1.9,1.9,1.9
AUS,4.8,5.4,5.7,6.1,6.3,6.3,6.3,6.3
AUT,7.1,7.5,7.8,8.4,8.2,8.4,8.4,8.7
AZE,1.4,0.9,0.9,1.2,1.1,1.2,1.1,1.2
BHS,2.7,2.5,2.6,3.5,3.6,3.3,3.1,3.6
BHR,2.8,2.4,2.2,2.6,2.4,2.8,3,3.2
BGD,1.2,0.9,1,1.1,1,1,0.8,0.8
BRB,3.5,3.4,3.5,4,4.2,4.8,4.9,4.7
BLR,4.8,4.6,5,4.3,3.5,3.9,4,3.7
BEL,5.8,6.1,7.1,7.9,8,8.2,8.2,8.3
BLZ,2.6,2.1,2.6,3.9,3.7,3.6,3.8,3.9
BEN,2.1,1.9,2.4,2.7,2.9,2.2,2.2,2.3
BTN,2.7,5.3,4.2,4.5,4.1,2.7,2.8,2.6
BOL,2.1,3.2,3.9,3.7,3.8,3.8,4.2,4.6
BIH,3.4,4,4.9,6.8,6.9,7.1,6.6,6.8
BWA,2.1,2.9,4.1,3.5,3.2,4,3.5,3.2
BRA,2.8,2.8,3.4,3.8,3.7,3.7,3.8,3.8
BRN,2.3,2.6,2.2,2.5,2.1,2.1,2.4,2.5
BGR,3.5,3.7,4.3,4,3.8,4,4.1,4.6
BFA,1.9,2,4.1,4,3,3,3.5,2.6
BDI,1.3,1.4,2.9,5.5,5.4,4.9,4.4,4
CPV,4.3,3.5,3.6,3.4,3.3,3.3,3.1,3.6
KHM,1.1,1.3,1.6,1.4,1.3,1.5,1.4,1.3
CMR,0.9,0.9,1.1,1.5,1.3,1.1,1,0.9
CAN,6.3,6.1,6.7,7.9,7.7,7.7,7.6,7.4
CAF,1.4,2.1,2.1,2,1.8,1.8,1.9,2.1
TCD,2,2.7,1.6,1.2,1.5,1.4,1.8,2
CHL,2.5,3.3,2.5,3.3,3.3,3.5,3.6,3.9
CHN,1.8,1.8,1.8,2.7,2.8,2.9,3,3.1
COL,3.7,4.7,4.3,5,5,5.3,5.2,5.4
COM,2.9,1.5,2.3,1.5,1.7,2.6,2,2.2
COG,1.9,1.2,1.4,1.4,2,3.1,4.1,4.2
COD,0.2,0,0.8,1.1,1.3,1.7,1.3,1.6
CRI,5,5.6,5.5,7.1,7.2,7,6.9,6.8
HRV,5.8,6.6,5.9,7.1,6.3,6.4,6.4,6.4
CUB,4.6,5.5,8.7,9.7,10.1,8.1,9,10.6
CYP,1.7,2.4,2.7,3.4,3.5,3.4,3.5,3.3
CZE,6.1,5.7,6.1,6.2,6.3,6.3,6.3,6.3
CIV,1.6,1.8,1.3,1.7,1.6,1.9,1.8,1.7
DNK,6.7,7.3,8.3,9.4,9.3,9.4,9.6,9.2
DJI,2.4,3.9,4.9,5.2,5,5.3,5.3,6.8
DMA,4.2,3.3,3,4,4,3.7,3.8,3.8
DOM,1.2,2.2,1.5,2.3,2.6,2.7,2.6,2.9
ECU,1.9,0.9,1.3,2.5,2.6,3,3.9,4.5
EGY,1.6,2.2,2,1.9,2,1.9,2.1,2.2
SLV,2.5,3.8,3.8,4.3,4.3,4.2,4.6,4.5
GNQ,3.9,2.2,0.9,3.1,2.6,3.3,3,2.9
ERI,2.2,1.6,1.1,1.4,1.4,1.4,1.4,1.5
EST,5.7,4.1,3.9,4.9,4.6,5.1,5.1,5
ETH,1.2,2.4,2.6,3.7,3.7,3.3,3,2.9
FJI,2.5,3.2,2.9,3,2.7,2.8,2.9,3
FIN,5.6,5.1,6.2,6.7,6.8,7,7.2,7.3
FRA,8.1,7.8,8.3,8.7,8.7,8.8,8.9,9
GAB,1.3,1.2,1.1,2.4,2.1,2.2,2.9,2.4
GMB,1,1.2,2.9,3.4,3.7,3.7,4.2,5
GEO,0.3,1.2,1.6,2.3,1.7,1.2,1.3,1.6
DEU,7.7,8,8,8.6,8.3,8.4,8.6,8.7
GHA,1.6,1.5,2.9,3.8,3.6,3.1,3.2,2.1
GRC,4.3,4.6,5.6,6.2,6.7,6.3,6.1,5
GRD,3,3.4,2.9,3.1,3,3,2.8,2.8
GTM,1.6,1.9,2.2,2.4,2.2,2.1,2.3,2.3
GIN,1.2,1.1,0.6,2,2,2.1,2.4,2.7
GNB,1.6,0.5,1.1,1.8,1,1.6,1.6,1.1
GUY,4.1,5,4.4,4.5,4.6,4.3,2.9,3.1
HTI,2.7,1.7,0.9,1.4,1.8,1,1.7,1.6
HND,2.9,3.6,3.9,4.2,3.9,4.5,4.5,4.4
HUN,6.1,5,5.8,5.1,5,4.9,4.9,4.9
ISL,6.9,7.5,7.5,7.1,7,7,7.1,7.2
IND,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4
IDN,0.7,0.7,0.8,1,1,1.1,1.2,1.1
IRN,1.7,1.9,2.3,2.7,2.5,2.7,2.7,2.8
IRQ,,,2.8,2.8,2.5,3.3,3.7,3.3
IRL,4.7,4.5,5.5,6.1,5.5,5.6,5.3,5.1
ISR,5,4.5,4.4,4.6,4.6,4.9,4.9,4.8
ITA,5,5.7,6.6,7.3,7,7,7,7
JAM,2.2,3.2,2,3,2.8,3.3,3.4,2.8
JPN,5.5,6.1,6.7,7.9,8.3,8.4,8.5,8.6
JOR,5.3,4.6,4.8,5.9,5.9,5.5,4.9,5.2
KAZ,3,2.1,2.5,2.5,2.3,2.4,2.2,2.4
KEN,2,2.2,1.8,1.4,2.6,3.3,3.3,3.5
KIR,9,7.6,9.5,8.7,8.6,8.3,8.2,8.3
KOR,1.4,2.1,2.8,3.9,3.8,3.9,3.9,4
KWT,3.1,1.9,1.9,2.3,2.3,2.2,2.2,2.6
KGZ,3.1,2.1,2.4,3.7,3.7,4.2,3.9,3.6
LAO,2.2,1.1,0.7,1.3,0.8,0.8,1,0.9
LVA,3.8,3.3,3.6,3.9,3.9,3.6,3.5,3.7
LBN,4.2,3.2,3.7,2.7,2.7,3.2,3.1,3
LSO,3.6,3.5,3.3,8.1,9.1,8.4,8.4,8.1
LBR,,1.4,1.6,2.7,3.9,3.4,2.8,3.2
LBY,1.5,1.7,1.7,2.1,3,3,3,3.7
LTU,4,4.5,4,5,4.7,4.3,4.3,4.4
LUX,5.1,6.4,6.7,6.6,6.3,6,5.9,5.8
MDG,1.4,2.6,2.6,2.6,2.4,1.8,2.6,1.5
MWI,1.9,2.8,6.1,6.3,6.9,6.8,5.8,6
MYS,1.7,1.7,1.7,2.3,2.1,2.2,2.2,2.3
MDV,3.7,5.1,7.1,5.3,5.6,6.5,8.3,10.8
MLI,2.6,2.1,3,2.8,3,2.3,1.1,1.6
MLT,3.8,4.7,6,5.2,6.5,6.6,6.6,6.7
