"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Domestic Public","2013","UNAIDS_GARPR_","US$","245000",""
"Afghanistan","Domestic Public","2012","UNAIDS_GARPR_","US$","24250",""
"Afghanistan","Domestic Public","2010","UNAIDS_GARPR_","US$","200000",""
"Afghanistan","Domestic Public","2009","UNAIDS_GARPR_","US$","132200",""
"Afghanistan","Domestic Public","2008","UNAIDS_GARPR_","US$","129260",""
"Afghanistan","International","2013","UNAIDS_GARPR_","US$","5067479",""
"Afghanistan","International","2012","UNAIDS_GARPR_","US$","9028297",""
"Afghanistan","International","2011","UNAIDS_GARPR_","US$","8002074",""
"Afghanistan","International","2010","UNAIDS_GARPR_","US$","4237825",""
"Afghanistan","International","2009","UNAIDS_GARPR_","US$","5026352",""
"Afghanistan","International","2008","UNAIDS_GARPR_","US$","3112158",""
"Afghanistan","Domestic Public & International","2013","UNAIDS_GARPR_","US$","5312479",""
"Afghanistan","Domestic Public & International","2012","UNAIDS_GARPR_","US$","9052547",""
"Afghanistan","Domestic Public & International","2011","UNAIDS_GARPR_","US$","8002074",""
"Afghanistan","Domestic Public & International","2010","UNAIDS_GARPR_","US$","4437825",""
"Afghanistan","Domestic Public & International","2009","UNAIDS_GARPR_","US$","5158552",""
"Afghanistan","Domestic Public & International","2008","UNAIDS_GARPR_","US$","3241418",""
"Afghanistan","Bilaterals","2013","UNAIDS_GARPR_","US$","2231162",""
"Afghanistan","Bilaterals","2011","UNAIDS_GARPR_","US$","1456111",""
"Afghanistan","Bilaterals","2010","UNAIDS_GARPR_","US$","90499",""
"Afghanistan","Bilaterals","2009","UNAIDS_GARPR_","US$","282525",""
"Afghanistan","Bilaterals","2008","UNAIDS_GARPR_","US$","254053",""
"Afghanistan","Global Fund","2013","UNAIDS_GARPR_","US$","2268317",""
"Afghanistan","Global Fund","2012","UNAIDS_GARPR_","US$","1829829",""
"Afghanistan","Global Fund","2011","UNAIDS_GARPR_","US$","1645560",""
"Afghanistan","Global Fund","2010","UNAIDS_GARPR_","US$","1774255",""
"Afghanistan","Global Fund","2009","UNAIDS_GARPR_","US$","1087983",""
"Afghanistan","Development Banks","2012","UNAIDS_GARPR_","US$","2080692",""
"Afghanistan","Development Banks","2011","UNAIDS_GARPR_","US$","3728220",""
"Afghanistan","Development Banks","2010","UNAIDS_GARPR_","US$","1523129",""
"Afghanistan","Development Banks","2009","UNAIDS_GARPR_","US$","3220281",""
"Afghanistan","Development Banks","2008","UNAIDS_GARPR_","US$","2669283",""
"Afghanistan","Other international","2013","UNAIDS_GARPR_","US$","80000",""
"Afghanistan","Other international","2012","UNAIDS_GARPR_","US$","576536",""
"Afghanistan","Multilaterals","2013","UNAIDS_GARPR_","US$","2756317",""
"Afghanistan","Multilaterals","2012","UNAIDS_GARPR_","US$","3937613",""
"Afghanistan","Multilaterals","2011","UNAIDS_GARPR_","US$","6545963",""
"Afghanistan","Multilaterals","2010","UNAIDS_GARPR_","US$","4147326",""
"Afghanistan","Multilaterals","2009","UNAIDS_GARPR_","US$","4743827",""
"Afghanistan","Multilaterals","2008","UNAIDS_GARPR_","US$","2858105",""
"Albania","Domestic Public","2005","UNAIDS_GARPR_","US$","1110357",""
"Albania","International","2005","UNAIDS_GARPR_","US$","1266600",""
"Albania","Domestic Public & International","2005","UNAIDS_GARPR_","US$","2376957",""
"Algeria","Domestic Public","2013","UNAIDS_GARPR_","US$","12069735",""
"Algeria","Domestic Public","2012","UNAIDS_GARPR_","US$","9030738",""
"Algeria","Domestic Public","2011","UNAIDS_GARPR_","US$","8069200",""
"Algeria","Domestic Public","2010","UNAIDS_GARPR_","US$","5345581",""
"Algeria","Domestic Public","2009","UNAIDS_GARPR_","US$","2537184",""
"Algeria","Domestic Public","2008","UNAIDS_GARPR_","US$","2653931",""
"Algeria","Domestic Public","2006","UNAIDS_GARPR_","US$","1133391",""
"Algeria","International","2013","UNAIDS_GARPR_","US$","373249",""
"Algeria","International","2012","UNAIDS_GARPR_","US$","873697",""
"Algeria","International","2011","UNAIDS_GARPR_","US$","851954",""
"Algeria","International","2010","UNAIDS_GARPR_","US$","470465",""
"Algeria","International","2009","UNAIDS_GARPR_","US$","171000",""
"Algeria","International","2008","UNAIDS_GARPR_","US$","1148085",""
"Algeria","International","2006","UNAIDS_GARPR_","US$","2540459",""
"Algeria","Domestic Public & International","2013","UNAIDS_GARPR_","US$","12442984",""
"Algeria","Domestic Public & International","2012","UNAIDS_GARPR_","US$","9904435",""
"Algeria","Domestic Public & International","2011","UNAIDS_GARPR_","US$","8921155",""
"Algeria","Domestic Public & International","2010","UNAIDS_GARPR_","US$","5816047",""
"Algeria","Domestic Public & International","2009","UNAIDS_GARPR_","US$","2708185",""
"Algeria","Domestic Public & International","2008","UNAIDS_GARPR_","US$","3802016",""
"Algeria","Domestic Public & International","2006","UNAIDS_GARPR_","US$","3673850",""
"Algeria","Private","2012","UNAIDS_GARPR_","US$","20000",""
"Algeria","Private","2011","UNAIDS_GARPR_","US$","44221",""
"Algeria","Private","2010","UNAIDS_GARPR_","US$","23896",""
"Algeria","Private","2009","UNAIDS_GARPR_","US$","18549",""
"Algeria","Bilaterals","2013","UNAIDS_GARPR_","US$","45787",""
"Algeria","Bilaterals","2012","UNAIDS_GARPR_","US$","177125",""
"Algeria","Bilaterals","2011","UNAIDS_GARPR_","US$","535488",""
"Algeria","Bilaterals","2010","UNAIDS_GARPR_","US$","289363",""
"Algeria","Bilaterals","2009","UNAIDS_GARPR_","US$","115500",""
"Algeria","Bilaterals","2008","UNAIDS_GARPR_","US$","13561",""
"Algeria","Bilaterals","2006","UNAIDS_GARPR_","US$","16",""
"Algeria","Global Fund","2008","UNAIDS_GARPR_","US$","1044653",""
"Algeria","Global Fund","2006","UNAIDS_GARPR_","US$","2396455",""
"Algeria","Other international","2012","UNAIDS_GARPR_","US$","97446",""
"Algeria","Other international","2011","UNAIDS_GARPR_","US$","4421",""
"Algeria","Other international","2010","UNAIDS_GARPR_","US$","403",""
"Algeria","Multilaterals","2013","UNAIDS_GARPR_","US$","327462",""
"Algeria","Multilaterals","2012","UNAIDS_GARPR_","US$","599125",""
"Algeria","Multilaterals","2011","UNAIDS_GARPR_","US$","312046",""
"Algeria","Multilaterals","2010","UNAIDS_GARPR_","US$","180699",""
"Algeria","Multilaterals","2009","UNAIDS_GARPR_","US$","55500",""
"Algeria","Multilaterals","2008","UNAIDS_GARPR_","US$","1134524",""
"Algeria","Multilaterals","2006","UNAIDS_GARPR_","US$","2540443",""
"Angola","Domestic Public","2011","UNAIDS_GARPR_","US$","21462786",""
"Angola","Domestic Public","2010","UNAIDS_GARPR_","US$","15877187",""
"Angola","Domestic Public","2009","UNAIDS_GARPR_","US$","16044315",""
"Angola","Domestic Public","2008","UNAIDS_GARPR_","US$","24078658",""
"Angola","Domestic Public","2007","UNAIDS_GARPR_","US$","39012328",""
"Angola","Domestic Public","2006","UNAIDS_GARPR_","US$","27724127",""
"Angola","International","2011","UNAIDS_GARPR_","US$","12014753",""
"Angola","International","2010","UNAIDS_GARPR_","US$","18187724",""
"Angola","International","2009","UNAIDS_GARPR_","US$","18379174",""
"Angola","International","2008","UNAIDS_GARPR_","US$","7687283",""
"Angola","International","2007","UNAIDS_GARPR_","US$","8481665",""
"Angola","Domestic Public & International","2011","UNAIDS_GARPR_","US$","33477540",""
"Angola","Domestic Public & International","2010","UNAIDS_GARPR_","US$","34064912",""
"Angola","Domestic Public & International","2009","UNAIDS_GARPR_","US$","34423488",""
"Angola","Domestic Public & International","2008","UNAIDS_GARPR_","US$","31765940",""
"Angola","Domestic Public & International","2007","UNAIDS_GARPR_","US$","47493992",""
"Angola","Domestic Public & International","2006","UNAIDS_GARPR_","US$","27724126",""
"Angola","Private","2011","UNAIDS_GARPR_","US$","415700",""
"Angola","Private","2010","UNAIDS_GARPR_","US$","273281",""
"Angola","Private","2009","UNAIDS_GARPR_","US$","276158",""
"Angola","Bilaterals","2011","UNAIDS_GARPR_","US$","9014036",""
"Angola","Bilaterals","2010","UNAIDS_GARPR_","US$","4057292",""
"Angola","Bilaterals","2009","UNAIDS_GARPR_","US$","4100000",""
"Angola","Global Fund","2011","UNAIDS_GARPR_","US$","263478",""
"Angola","Global Fund","2010","UNAIDS_GARPR_","US$","8199031",""
