"","id","value","year"
"1","AFG",NA,"1991"
"2","ALB",1139166646,"1991"
"3","DZA",45715367087,"1991"
"4","ASM",NA,"1991"
"5","AND",1106928583,"1991"
"6","AGO",12118610904,"1991"
"7","ATG",481706333,"1991"
"8","ARG",189719984268,"1991"
"9","ARM",2068526522,"1991"
"10","ABW",NA,"1991"
"11","AUS",326068597441,"1991"
"12","AUT",173375508073,"1991"
"13","AZE",8792365811,"1991"
"14","BHS",3111160000,"1991"
"15","BHR",4616223404,"1991"
"16","BGD",30957483291,"1991"
"17","BRB",2020744654,"1991"
"18","BLR",1.742e+10,"1991"
"19","BEL",211638016539,"1991"
"20","BLZ",444720750,"1991"
"21","BEN",1986437860,"1991"
"22","BMU",1634899968,"1991"
"23","BTN",250045840,"1991"
"24","BOL",5343274312,"1991"
"25","BIH",NA,"1991"
"26","BWA",3942792837,"1991"
"27","BRA",6.0286e+11,"1991"
"28","VGB",NA,"1991"
"29","BRN",3701667053,"1991"
"30","BGR",10943548387,"1991"
"31","BFA",3135045684,"1991"
"32","BDI",1167398478,"1991"
"33","CPV",319827059,"1991"
"34","KHM",NA,"1991"
"35","CMR",12434370005,"1991"
"36","CAN",610328183643,"1991"
"37","CYM",NA,"1991"
"38","CAF",1377375031,"1991"
"39","TCD",1877138042,"1991"
"40","CHL",37834793730,"1991"
"41","CHN",383372822300,"1991"
"42","COL",41239551378,"1991"
"43","COM",246823429,"1991"
"44","COD",9087965282,"1991"
"45","COG",2724853508,"1991"
"46","CRI",7168999428,"1991"
"47","CIV",10492628915,"1991"
"48","HRV",NA,"1991"
"49","CUB",24316556026,"1991"
"50","CUW",NA,"1991"
"51","CYP",5770197348,"1991"
"52","CZE",29557058174,"1991"
"53","DNK",139224732275,"1991"
"54","DJI",462421999,"1991"
"55","DMA",180437037,"1991"
"56","DOM",9724402004,"1991"
"57","ECU",16988535268,"1991"
"58","EGY",36970555899,"1991"
"59","SLV",5.311e+09,"1991"
"60","GNQ",110906032,"1991"
"61","ERI",NA,"1991"
"62","EST",NA,"1991"
"63","ETH",13463868357,"1991"
"64","FRO",NA,"1991"
"65","FJI",1383843860,"1991"
"66","FIN",127866490222,"1991"
"67","FRA",1275563306592,"1991"
"68","PYF",3267367610,"1991"
"69","GAB",5402919957,"1991"
"70","GMB",690314321,"1991"
"71","GEO",6357615894,"1991"
"72","DEU",1861873895109,"1991"
"73","GHA",6596546196,"1991"
"74","GIB",NA,"1991"
"75","GRC",105143232380,"1991"
"76","GRL",1016493395,"1991"
"77","GRD",300757900,"1991"
"78","GUM",NA,"1991"
"79","GTM",9406097735,"1991"
"80","GIN",3014890569,"1991"
"81","GNB",257150573,"1991"
"82","GUY",336708419,"1991"
"83","HTI",3473562850,"1991"
"84","HND",3068444712,"1991"
"85","HKG",88959620136,"1991"
"86","HUN",34650782427,"1991"
"87","ISL",6966138526,"1991"
"88","IND",266502281094,"1991"
"89","IDN",116621996217,"1991"
"90","IRN",NA,"1991"
"91","IRQ",NA,"1991"
"92","IRL",49836763468,"1991"
"93","IMN",NA,"1991"
"94","ISR",59170286560,"1991"
"95","ITA",1242109402060,"1991"
"96","JAM",4071219198,"1991"
"97","JPN",3578139437172,"1991"
"98","JOR",4344250257,"1991"
"99","KAZ",24881135586,"1991"
"100","KEN",8151479004,"1991"
"101","KIR",47515189,"1991"
"102","PRK",NA,"1991"
"103","KOR",325734233313,"1991"
"104","XKX",NA,"1991"
"105","KWT",11008793176,"1991"
"106","KGZ",2570833333,"1991"
"107","LAO",1028087972,"1991"
"108","LVA",NA,"1991"
"109","LBN",4451497288,"1991"
"110","LSO",704329193,"1991"
"111","LBR",3.48e+08,"1991"
"112","LBY",31995012469,"1991"
"113","LIE",1484152022,"1991"
"114","LTU",NA,"1991"
"115","LUX",14321878795,"1991"
"116","MAC",3735117374,"1991"
"117","MKD",4694744898,"1991"
"118","MDG",2653141959,"1991"
"119","MWI",2203536031,"1991"
"120","MYS",49142784405,"1991"
"121","MDV",244468293,"1991"
"122","MLI",2724131545,"1991"
"123","MLT",2750041434,"1991"
"124","MHL",82507000,"1991"
"125","MRT",1443688870,"1991"
"126","MUS",2856890681,"1991"
"127","MEX",314453890803,"1991"
"128","FSM",166200000,"1991"
"129","MDA",NA,"1991"
"130","MCO",2480497548,"1991"
